BOD(㎎/L),COD(㎎/L),Conductivity(µS/㎝),DO (㎎/L),Dissolved Total P(㎎/L),SS(㎎/L),T-N(㎎/L),T-P(㎎/L),Temp.(℃),TSI(Chl-a)
1.0,4.6,165.0,14.4,0.015,4.6,2.463,0.018,1.3,61.31645309259551
1.3,3.8,200.0,16.7,0.014,4.6,2.874,0.034,1.4,59.06294583795177
5.8,19.5,370.0,8.5,1.632,28.4,14.832,1.824,8.6,47.14357373452395
2.2,3.5,307.0,8.5,0.062,6.4,12.696,0.077,13.0,46.96020390967473
2.0,4.0,141.0,14.8,0.01,16.8,3.392,0.019,1.6,36.8965866233512
5.8,9.3,698.0,13.5,0.069,6.6,20.082,0.102,6.9,54.81205640373659
3.8,3.8,170.0,12.5,0.139,4.4,4.32,0.163,1.5,49.405010825506025
2.8,6.6,293.0,15.5,0.172,12.4,5.304,0.207,1.5,71.11878254749976
5.0,6.3,308.0,13.7,0.274,10.8,8.592,0.384,2.6,42.01050944419373
1.0,2.2,103.0,13.6,0.024,4.8,2.68,0.024,1.2,41.6990547137277
9.3,11.2,406.0,11.7,0.95,9.8,14.604,0.96,8.9,50.8759236704299
4.4,9.0,468.0,7.6,0.931,8.8,12.168,0.989,21.2,48.65579190362935
2.5,5.6,436.0,9.6,0.278,2.4,7.584,0.302,16.9,57.29590814723039
2.1,2.4,432.0,10.5,0.096,46.0,2.928,0.11,16.6,49.11215325700765
0.7,2.1,146.0,7.4,0.005,1.2,2.112,0.01,18.8,44.90901337268226
1.2,4.2,198.0,9.6,0.117,7.9,3.411,0.136,17.5,56.418829521740506
0.8,2.6,164.0,7.4,0.0,3.6,2.213,0.01,19.3,14.811414079021477
